Outcome,Subject,CompositeNLL,CongruencyOnlyNLL,DeltaNLL,CompositeBIC,CongruencyOnlyBIC,DeltaBIC,CompositeAlpha,CongruencyOnlyAlpha,DeltaAlpha
RT,VP0015,-296.55000893636,-299.59071260478,-3.04070366842006,-511.351876742591,-517.433284079431,-6.08140733684013,0.157425576882529,0.0353471007992861,-0.122078476083243
RT,VP0016,-256.650404733482,-259.786481791813,-3.13607705833107,-432.301635141501,-438.573789258163,-6.27215411666214,0.0665585731012072,0.0409247723157075,-0.0256338007854998
RT,VP0017,-205.126181810262,-192.335382544002,12.7907992662599,-329.624205767901,-304.042607235381,25.5815985325198,0.0020430255763582,0.175785123332007,0.173742097755648
RT,VP0018,-192.836662307043,-191.980345763416,0.856316543626235,-303.651109580318,-301.938476493065,1.71263308725247,0.173187480731213,0.0506037194476854,-0.122583761283528
RT,VP0019,-36.5834954338984,-35.1955417370107,1.38795369688768,7.78995467508368,10.565862068859,2.77590739377536,0.00475394874722682,0.00625364463980871,0.00149969589258189
RT,VP0020,39.676258204788,35.2312864500409,-4.44497175474709,160.295352603388,151.405409093894,-8.88994350949417,0.00268765083368302,0.00472879263530246,0.00204114180161944
RT,VP0021,-139.150347892414,-136.728785024154,2.42156286826059,-196.408211744312,-191.56508600779,4.84312573652119,0.249440590311731,0.165990118001955,-0.083450472309776
RT,VP0022,147.4518414828,147.389254874485,-0.0625866083144615,376.125601505383,376.000428288754,-0.125173216628923,0.12476075862618,0.140439430765078,0.0156786721388978
RT,VP0023,-63.2637608798791,-62.6371783386572,0.626582541221921,-45.3194042565735,-44.0662391741296,1.25316508244384,0.272588327653954,0.216949223244952,-0.0556391044090022
RT,VP0024,-177.875545419199,-179.195704386853,-1.32015896765427,-275.036290010093,-277.676607945401,-2.64031793530853,0.00725347093833863,0.00731304434990126,5.95734115626271e-05
RT,VP0025,-168.477781011188,-172.714267992601,-4.23648698141307,-254.403292368851,-262.876266331678,-8.47297396282613,0.19191974581182,0.0936317521645358,-0.0982879936472839
RT,VP0026,-327.195672235772,-336.279659500576,-9.08398726480374,-572.113800656409,-590.281775186016,-18.1679745296075,0.00714917115659843,0.00373067641004122,-0.00341849474655721
RT,VP0027,5.92238923629264,11.4432566615637,5.52086742527109,93.149171563822,104.190906414364,11.0417348505422,0.00373067641004122,0.182233200032228,0.178502523622187
RT,VP0028,-309.003808104209,-311.396228785383,-2.39242068117483,-536.299144535901,-541.083985898251,-4.78484136234965,0.135563693423997,0.130910197317242,-0.0046534961067547
RT,VP0029,-54.6527907082427,-53.6265482081499,1.02624250009279,-27.973822292864,-25.9213372926785,2.05248500018558,0.0258383699170914,0.156662415435294,0.130824045518203
RT,VP0030,-159.586148371219,-159.322138384605,0.264009986613473,-238.471893036435,-237.943873063208,0.528019973226947,0.311277876033355,0.0247040634689647,-0.286573812564391
RT,VP0031,-239.537363512226,-241.302258027565,-1.76489451533939,-397.908108121703,-401.437897152382,-3.52978903067878,0.207327197251999,0.208119717423452,0.000792520171452926
RT,VP0032,-439.534680444443,-449.317601622528,-9.78292117808559,-796.22439379787,-815.790236154041,-19.5658423561712,0.140013892053455,0.207726299721525,0.0677124076680702
RT,VP0033,-203.298094268814,-210.607259866362,-7.30916559754735,-324.407393146027,-339.025724341122,-14.6183311950947,0.0959913334162561,0.0322776686724082,-0.0637136647438479
RT,VP0034,-129.64068402962,-117.81234519453,11.8283388350902,-177.63930496794,-153.982627297759,23.6566776701803,0.0189359510210012,0.127009354818853,0.108073403797852
RT,VP0035,205.115645253164,210.173871420713,5.05822616754855,491.117522821603,501.2339751567,10.1164523350972,0.161370306928148,0.173232061740334,0.0118617548121861
RT,VP0036,-631.795243040584,-629.547552882455,2.24769015812853,-1180.83015410169,-1176.33477378544,4.49538031625707,0.214015115433381,0.163153673540042,-0.0508614418933397
RT,VP0037,-199.555671392719,-195.013618959369,4.54205243335059,-317.389633384057,-308.305528517356,9.08410486670118,0.39559364437914,0.389705152568559,-0.00588849181058082
RT,VP0038,102.563538093262,102.508485704955,-0.0550523883078711,282.97928440834,282.869179631724,-0.110104776615742,0.19585723929225,0.0493553747426752,-0.146501864549575
RT,VP0039,-311.440582156968,-306.252494394872,5.18808776209647,-540.794605962472,-530.418430438279,10.3761755241928,0.0356878640451931,0.112907965312644,0.0772201012674508
RT,VP0040,-336.958591681042,-337.913076363835,-0.954484682793122,-591.576647276315,-593.485616641902,-1.90896936558624,0.0916086886209654,0.253716599892609,0.162107911271643
RT,VP0041,20.7674955296871,19.9585300096322,-0.808965520054869,120.927773280968,119.309842240858,-1.61793104010974,0.187863264987329,0.0629911948358236,-0.124872070151506
RT,VP0042,-265.857592563663,-266.622254066458,-0.764661502795434,-449.680073800001,-451.209396805591,-1.52932300559087,0.0994476815498505,0.0848399026208437,-0.0146077789290067
RT,VP0043,-118.427076301084,-116.401390843984,2.02568545709954,-154.780435343422,-150.729064429223,4.05137091419908,0.481330531216136,0.0732734633198189,-0.408057067896317
RT,VP0044,-390.456017408616,-391.84171400521,-1.38569659659447,-698.980484003198,-701.751877196387,-2.77139319318894,0.294727245536249,0.267406094773108,-0.0273211507631407
RT,VP0045,-216.804075967767,-217.365208455881,-0.561132488114083,-352.019481590828,-353.141746567056,-1.12226497622817,0.039412131001747,0.0240373960759937,-0.0153747349257534
RT,VP0046,-224.353876566732,-226.02582233485,-1.67194576811755,-366.342112436029,-369.686003972265,-3.34389153623511,0.263616615608528,0.283311276239086,0.0196946606305588
RT,VP0047,174.209615745028,172.787382522369,-1.42223322265943,420.787454613192,417.942988167873,-2.84446644531886,0.0960847535237618,0.0716016296641462,-0.0244831238596156
RT,VP0048,-312.235237903874,-311.422565181294,0.812672722579862,-542.525930948048,-540.900585502888,1.62534544515961,0.0384813012020439,0.04498213212485,0.00650083092280606
RT,VP0049,-321.722579036234,-321.100675293572,0.621903742661857,-561.218247243846,-559.974439758522,1.24380748532371,0.180814126953338,0.150789812518995,-0.0300243144343426
