Outcome,Subject,Condition,EffectScale,UnexpectednessSD_Symmetric,UnexpectednessSD_Directional,LogEffect_Symmetric,LogEffect_Directional,DeltaLogEffect,TransformedEffect_Symmetric,TransformedEffect_Directional
RT,VP0089,Congruent,PercentRTChange,0.111203093983642,0.116165010242966,0.0187589361076931,0.0227414454882279,0.00398250938053486,1.89359903330852,2.30020035666314
RT,VP0090,Congruent,PercentRTChange,0.111804450766312,0.127698486216831,0.0276159827197619,0.0279490886942265,0.000333105974464551,2.80008385263606,2.83433287870374
RT,VP0091,Congruent,PercentRTChange,0.0578045385929864,0.0919595177285016,0.0831472429184023,0.0869794571960079,0.00383221427760562,8.67018059140452,9.08742698717919
RT,VP0092,Congruent,PercentRTChange,0.0800556897002509,0.0962626067688939,0.0390711959679811,0.0421069907095097,0.0030357947415286,3.98445137515107,4.30060647402142
RT,VP0093,Congruent,PercentRTChange,0.0403482650613644,0.0875304695073595,0.0510359228052516,0.0585296698008937,0.00749374699564208,5.23606963525531,6.02764434188914
RT,VP0094,Congruent,PercentRTChange,0.119597331471955,0.123684118839558,0.0208019770477618,0.0247411876680101,0.00393921062024834,2.10198462532869,2.50497906638625
RT,VP0095,Congruent,PercentRTChange,0.105006595938681,0.102000232552263,0.125054928165712,0.124087045224086,-0.000967882941625267,13.3210696542277,13.2114411863029
RT,VP0096,Congruent,PercentRTChange,0.117746620977603,0.119986925159135,0.0331820808083014,0.0250967259654802,-0.00808535484282128,3.37387460928187,2.54142999159168
RT,VP0097,Congruent,PercentRTChange,0.115321432832902,0.0693783267035794,0.0463761170521809,0.0415920979086827,-0.00478401914349813,4.7468307568773,4.24691666606001
RT,VP0098,Congruent,PercentRTChange,0.100386138031808,0.115627896869942,0.0430643635595071,0.0430287309074959,-3.56326520112235e-05,4.400508857182,4.39678885645722
RT,VP0099,Congruent,PercentRTChange,0.0385960084357673,0.0189719047896132,0.0379542047367652,0.0408636242713002,0.00290941953453495,3.8683664997458,4.17100318933075
RT,VP0100,Congruent,PercentRTChange,0.121812250699488,0.119166577713864,0.0198261558809391,0.0223385582298164,0.00251240234887723,2.00239994387899,2.25899321088088
RT,VP0101,Congruent,PercentRTChange,0.104729658965362,0.105461204903354,0.0347537760851338,0.0404703388187654,0.0057165627336316,3.53647458508859,4.13004230438847
RT,VP0102,Congruent,PercentRTChange,0.120023712843989,0.119448814762967,0.0498172178291879,0.0584359288574229,0.00861871102823501,5.10789603229738,6.01770567631175
RT,VP0103,Congruent,PercentRTChange,0.115897189190047,0.121876862485065,0.0245733393786237,0.0202831373336357,-0.00429020204498797,2.48777522485444,2.04902380109151
RT,VP0104,Congruent,PercentRTChange,0.0209259258587982,0.110060715591391,0.0293657339692403,0.0252242856039379,-0.00414144836530249,2.98011588751006,2.55451097361328
RT,VP0105,Congruent,PercentRTChange,0.000276527854897301,0.00593555541777597,0.00769012283515958,0.0224097182286669,0.0147195953935073,0.771976777211503,2.26627021963313
RT,VP0106,Congruent,PercentRTChange,0.1065671640405,0.088196332139079,0.0484875346086039,0.049802945855931,0.00131541124732711,4.96822870382223,5.10639594592073
RT,VP0107,Congruent,PercentRTChange,0.109649607817974,0.124627623793829,0.0604740183261883,0.0685009982779034,0.00802697995171514,6.2339995840508,7.09016940079437
RT,VP0108,Congruent,PercentRTChange,0.114575855856911,0.124028371437944,0.0912665673592788,0.0865770352922985,-0.00468953206698032,9.55610071422535,9.0435366489493
RT,VP0109,Congruent,PercentRTChange,0.113944650744763,0.111210611323751,0.0441483206589597,0.0588111964441584,0.0146628757851987,4.51373588547832,6.05749815081809
RT,VP0110,Congruent,PercentRTChange,0.0624084840792812,0.0667813659079308,0.0409964860286161,0.0430945545945953,0.00209806856597922,4.18484445134268,4.40366086418906
RT,VP0111,Congruent,PercentRTChange,0.120786472748592,0.123523140319199,0.0610624808158678,0.0577045168376184,-0.00335796397824938,6.29653270532822,5.94019140295923
RT,VP0112,Congruent,PercentRTChange,0.0986841821796317,0.064063259170066,0.0468839689649681,0.0507219986925377,0.00383802972756959,4.80004014533681,5.20303868034744
RT,VP0113,Congruent,PercentRTChange,0.0213494817652357,0.108546565394362,0.0834913205371681,0.085140365951518,0.00164904541434982,8.70757800181028,8.886989623118
RT,VP0114,Congruent,PercentRTChange,0.120499311196222,0.123402762314708,0.0543100553160646,0.0588049382471368,0.00449488293107218,5.58119115063826,6.05683442417593
RT,VP0115,Congruent,PercentRTChange,0.0951814378596457,0.123463080388796,0.0307594579588005,0.0397345933165052,0.00897513535770463,3.12374180966775,4.0534572711145
RT,VP0116,Congruent,PercentRTChange,0.110616129701884,0.0893147026586728,0.0320265496930033,0.0324839164871431,0.000457366794139817,3.25449186918116,3.30172784636822
RT,VP0117,Congruent,PercentRTChange,0.000276303729575682,0.103241522612281,0.0357544404942043,0.0442601056885106,0.00850566519430631,3.64013170459205,4.52541960955331
RT,VP0118,Congruent,PercentRTChange,0.0422983657392124,0.0312758437814489,0.0216989176014508,0.0278822835991497,0.00618336599769886,2.19360511887698,2.82746325078425
RT,VP0119,Congruent,PercentRTChange,0.110558562070234,0.122782054744703,0.0564653504664187,0.0618641406639118,0.00539879019749313,5.80899518417342,6.38178053289917
RT,VP0120,Congruent,PercentRTChange,0.0787999997896271,0.120257916416627,0.0246092310227529,0.0305795776783901,0.00597034665563715,2.49145374562409,3.1051935503571
RT,VP0121,Congruent,PercentRTChange,0.0626218523847713,0.0469797540714842,0.0653979932347502,0.0757843281072223,0.0103863348724722,6.75838309857695,7.87298973485049
RT,VP0122,Congruent,PercentRTChange,0.0721436728687763,0.0964054837393063,0.0837732811746733,0.0833816114637187,-0.000391669710954556,8.73823358143559,8.69565244833344
RT,VP0123,Congruent,PercentRTChange,0.102796895851371,0.103533985298358,0.0569667170779311,0.0599329760138817,0.00296625893595065,5.86205758230229,6.17653804123497
RT,VP0124,Congruent,PercentRTChange,0.0112294833623299,0.000199641285523557,0.0539515316003436,0.0611414692863189,0.00718993768597529,5.54334457452963,6.3049292374711
RT,VP0125,Congruent,PercentRTChange,0.000275881440972709,0.117010358346224,0.00807322756051702,0.022658630308863,0.014585402748346,0.810590393755661,2.29172869801735
RT,VP0126,Congruent,PercentRTChange,0.0983944444584681,0.105636439427047,0.0117416080252518,0.0148806427875396,0.0031390347622878,1.18108112920778,1.49919107804302
RT,VP0127,Congruent,PercentRTChange,0.0895895284922904,0.0606828817277014,0.0251398915703171,0.0221622534106433,-0.00297763815967377,2.54585634997064,2.24096604675867
RT,VP0128,Congruent,PercentRTChange,0.0877915302033715,0.0907879774259,0.00777436289915326,0.0211363267196464,0.0133619638204931,0.780466172552563,2.1361280979983
RT,VP0129,Congruent,PercentRTChange,0.000274776130571758,0.0893242863136555,-0.00522941360984989,-0.00435024140745345,0.000879172202396443,-0.521576402996315,-0.434079281348898
RT,VP0130,Congruent,PercentRTChange,0.108820620176944,0.108383842541709,0.0469681286643849,0.0438233638466887,-0.00314476481769625,4.80886045636648,4.47977895259357
RT,VP0131,Congruent,PercentRTChange,0.0850911393223624,0.111838009328677,0.0488466752896629,0.0530023114163837,0.00415563612672077,5.00593383528651,5.44320823481299
