Outcome,Subject,Parameter,Symmetric,Directional,DirectionalMinusSymmetric
RT,VP0064,alpha,0.580353487999816,0.572230788018715,-0.00812269998110171
RT,VP0065,alpha,0.631905275031999,0.682950018740019,0.0510447437080204
RT,VP0066,alpha,0.982330372191945,0.00164462525732482,-0.980685746934621
RT,VP0067,alpha,0.763704870168518,0.644669236071921,-0.119035634096596
RT,VP0068,alpha,0.585634738079884,0.92256642052341,0.336931682443526
RT,VP0069,alpha,0.928551092970049,0.981225280243285,0.052674187273236
RT,VP0070,alpha,0.998355374742675,0.00164462525732482,-0.99671074948535
RT,VP0071,alpha,0.318056547429349,0.668256296491197,0.350199749061849
RT,VP0072,alpha,0.862136745050194,0.940780020748994,0.0786432756988003
RT,VP0073,alpha,0.89593085646146,0.796139897403909,-0.099790959057551
RT,VP0074,alpha,0.00164462525732482,0.00164462525732482,0
RT,VP0075,alpha,0.403468928153109,0.961518712542351,0.558049784389242
RT,VP0076,alpha,0.991850996346235,0.966903048324371,-0.0249479480218636
RT,VP0077,alpha,0.00164462525732482,0.00164462525732482,0
RT,VP0078,alpha,0.539185511710781,0.53058305091301,-0.00860246079777127
RT,VP0079,alpha,0.539703520964139,0.557549385211267,0.0178458642471272
RT,VP0080,alpha,0.00164462525732482,0.899614777426482,0.897970152169157
RT,VP0081,alpha,0.920266474485633,0.960589706757709,0.0403232322720758
RT,VP0082,alpha,0.793846832420567,0.610486111683944,-0.183360720736623
RT,VP0083,alpha,0.776640157471661,0.702779541513742,-0.073860615957919
RT,VP0084,alpha,0.95374977025879,0.928556036166143,-0.0251937340926467
RT,VP0085,alpha,0.899084897464051,0.978303109234651,0.0792182117705996
RT,VP0086,alpha,0.800897750495241,0.932320587131181,0.13142283663594
RT,VP0087,alpha,0.863949451992386,0.908174148749118,0.0442246967567321
RT,VP0088,alpha,0.77157046614867,0.933762168344937,0.162191702196266
RT,VP0089,alpha,0.697012093060132,0.972940558312318,0.275928465252186
RT,VP0090,alpha,0.698156912997482,0.912757404790735,0.214600491793253
RT,VP0091,alpha,0.346225907870916,0.622341640894487,0.276115733023571
RT,VP0092,alpha,0.494054913055291,0.693095857688939,0.199040944633648
