Outcome,Subject,NegLogLike_Symmetric,NegLogLike_Directional,DeltaNegLogLike_DirectionalMinusSymmetric,BIC_Symmetric,BIC_Directional,DeltaBIC_DirectionalMinusSymmetric,DirectionalPreferredByBIC
RT,VP0142,-88.3718763816742,-91.6818808825312,-3.31000450085708,-95.8150425276121,-102.435051529326,-6.62000900171415,1
RT,VP0143,85.794147421973,86.4201182186053,0.625970796632316,253.096427973596,254.34836956686,1.25194159326463,0
RT,VP0144,-55.6885481176961,-53.0509853749931,2.63756274270298,-31.0869889063694,-25.8118634209634,5.27512548540597,0
RT,VP0145,16.0245004354628,12.1669197875896,-3.85758064787325,112.501973130495,104.786811834748,-7.7151612957465,1
RT,VP0146,84.1498977125347,83.7721154935265,-0.377782219008225,249.480263146436,248.724698708419,-0.755564438016449,1
RT,VP0147,-114.687594092552,-116.111771672762,-1.42417758021037,-148.936930826213,-151.785285986634,-2.84835516042074,1
RT,VP0148,212.863069341125,220.192538135018,7.32946879389374,504.407478956146,519.066416543933,14.6589375877874,0
RT,VP0149,-436.157442479476,-437.134248002426,-0.976805522949405,-789.986920901573,-791.940531947472,-1.95361104589881,1
RT,VP0150,135.542184145544,134.377089053615,-1.16509509192957,350.380375794642,348.050185610782,-2.33019018385914,1
RT,VP0151,-24.5836527611687,-23.1442989559011,1.4393538052675,29.8998122080649,32.7785198185999,2.878707610535,0
RT,VP0152,269.642011991939,270.297211272007,0.655199280067905,618.21836027653,619.528758836666,1.31039856013581,0
RT,VP0153,-229.022643701193,-230.285496943481,-1.26285324228724,-377.244464700338,-379.770171184913,-2.52570648457447,1
RT,VP0154,102.58946129077,106.484411884687,3.89495059391754,286.24814964535,294.038050833185,7.78990118783508,0
RT,VP0155,-565.762804364832,-570.232851764545,-4.47004739971339,-1049.15996803223,-1058.10006283165,-8.94009479942679,1
RT,VP0156,-356.920884240714,-358.743756397062,-1.82287215634801,-632.578541811353,-636.224286124049,-3.64574431269602,1
RT,VP0157,-199.408695269104,-199.667738863207,-0.259043594103844,-317.069249408077,-317.587336596285,-0.518087188207687,1
RT,VP0158,-186.579958352505,-184.806624901678,1.77333345082678,-291.111922928783,-287.56525602713,3.54666690165357,0
RT,VP0159,-199.257410491071,-190.195827565922,9.06158292514829,-315.573853379121,-297.450687528825,18.1231658502966,0
RT,VP0160,-269.465202664983,-268.113933623139,1.35126904184341,-458.595660627712,-455.893122544026,2.70253808368682,0
RT,VP0161,-136.174649369918,-136.140100060391,0.0345493095270513,-190.417747925802,-190.348649306748,0.0690986190541025,0
RT,VP0162,30.9825108333312,28.3400524142302,-2.64245841910105,143.351326338744,138.066409500542,-5.28491683820209,1
RT,VP0163,166.914597851713,168.622380661789,1.70778281007611,411.024476816296,414.440042436448,3.41556562015222,0
RT,VP0164,-192.145326528375,-193.158923300807,-1.01359677243255,-304.754156542595,-306.78135008746,-2.0271935448651,1
RT,VP0165,-154.872597746386,-157.534922872653,-2.66232512626681,-227.95751561188,-233.282165864414,-5.32465025253362,1
RT,VP0166,36.2845430987317,35.53934569531,-0.745197403421628,153.84605070533,152.355655898486,-1.49039480684326,1
RT,VP0167,-334.62890948916,-338.798687182203,-4.1697776930431,-586.546119284254,-594.88567467034,-8.3395553860862,1
RT,VP0168,-78.041862198836,-75.7760422995084,2.26581989932765,-73.8061805825371,-69.2745407838817,4.53163979865531,0
RT,VP0169,130.840321971256,128.922286914648,-1.91803505660755,343.107695682607,339.271625569391,-3.8360701132151,1
RT,VP0170,-57.691787003936,-59.5381500640564,-1.84636306012038,-34.314346944061,-38.0070730643018,-3.69272612024076,1
RT,VP0171,-237.186374141884,-242.9470278201,-5.76065367821593,-392.299031025021,-403.820338381453,-11.5213073564319,1
RT,VP0172,-428.9282229162,-429.078021086683,-0.149798170482768,-775.528481775022,-775.828078115987,-0.299596340965536,1
RT,VP0173,-49.4126704936069,-53.4649796909364,-4.05230919732946,-16.9459075189456,-25.0505259136045,-8.10461839465893,1
RT,VP0174,90.2166094399637,90.3294621524286,0.112852712464871,260.143060496334,260.368765921264,0.225705424929743,0
RT,VP0175,-276.648181960948,-277.046912548586,-0.398730587637772,-471.069453093274,-471.866914268549,-0.797461175275544,1
RT,VP0176,-268.477909740615,-268.528004755305,-0.0500950146905552,-454.716230362997,-454.816420392378,-0.10019002938111,1
RT,VP0177,9.52286885982676,11.6433674818827,2.12049862205595,100.156800967618,104.39779821173,4.2409972441119,0
RT,VP0179,-144.367068047445,-146.245452173116,-1.87838412567078,-207.361444583656,-211.118212834997,-3.75676825134155,1
RT,VP0180,-73.9268034236337,-73.8058334193209,0.120970004312767,-66.9957769121159,-66.7538369034904,0.241940008625534,0
RT,VP0181,283.572685106581,276.96147898992,-6.61120611666064,641.768571649463,628.546159416142,-13.2224122333213,1
RT,VP0182,-101.154426509478,-104.935725600447,-3.78129909096918,-120.338362203202,-127.900960385141,-7.56259818193837,1
RT,VP0183,-35.4146543300368,-34.787292147917,0.627362182119839,10.8260655806779,12.0807899449176,1.25472436423968,0
RT,VP0184,25.9158668681385,28.4313342278698,2.5154673597313,133.593068930408,138.62400364987,5.03093471946261,0
RT,VP0185,-36.9385682258944,-36.5840770776869,0.354491148207501,7.1360811754524,7.84506347186741,0.708982296415002,0
RT,VP0186,-234.047236670886,-236.5604593188,-2.51322264791378,-385.943914838604,-390.970360134431,-5.02644529582756,1
RT,VP0187,-192.329276761449,-194.81903515188,-2.48975839043163,-302.393647939578,-307.373164720441,-4.97951678086326,1
RT,VP0188,54.9971663164372,59.3320320694806,4.33486575304335,190.388336714815,199.058068220901,8.66973150608669,0
RT,VP0189,-331.718225214982,-333.80785116614,-2.08962595115872,-581.622483572513,-585.801735474831,-4.17925190231745,1
RT,VP0190,-111.343820902594,-117.005259325517,-5.66143842292337,-142.001652515334,-153.32452936118,-11.3228768458467,1
RT,VP0191,-218.708233653,-215.471098304272,3.23713534872809,-355.641952538881,-349.167681841425,6.47427069745618,0
RT,VP0192,313.739380513321,316.286951964865,2.547571451544,705.831787085788,710.926929988876,5.095142903088,0
RT,VP0193,-341.651145215654,-339.779305090456,1.87184012519788,-600.713040779333,-596.969360528938,3.74368025039576,0
RT,VP0194,-282.719114535321,-283.147464775133,-0.428350239812403,-483.862944114942,-484.719644594567,-0.856700479624806,1
RT,VP0195,-348.188124266409,-350.669207797322,-2.481083530913,-613.163482013675,-618.125649075501,-4.96216706182599,1
RT,VP0196,-155.929946801072,-165.417297068087,-9.48735026701547,-230.231156442251,-249.205856976282,-18.9747005340309,1
RT,VP0197,-115.59625392744,-116.066412974544,-0.47015904710355,-150.420290649095,-151.360608743302,-0.9403180942071,1
RT,VP0198,-278.346489600105,-278.813106978131,-0.466617378025717,-474.997759875812,-475.930994631863,-0.933234756051434,1
RT,VP0199,-161.423294127959,-162.575120119901,-1.15182599194219,-241.460283583836,-243.763935567721,-2.30365198388438,1
RT,VP0200,-366.552644692743,-366.799742680056,-0.247097987313055,-651.651149597772,-652.145345572398,-0.494195974626109,1
RT,VP0201,-163.283554834684,-168.560812373786,-5.2772575391017,-244.991824713669,-255.546339791873,-10.5545150782034,1
RT,VP0202,228.385362347405,229.100061126556,0.714698779151121,536.697626492886,538.127024051188,1.42939755830218,0
RT,VP0203,-132.939504282631,-134.736978642766,-1.79747436013486,-184.795819894292,-188.390768614561,-3.59494872026971,1
